12,Weekday,Evening,false,false
8,Weekend,Night,false,false
19,Weekend,Afternoon,true,false
8,Weekend,Morning,false,false
8,Weekday,Afternoon,false,false
19,Weekend,Morning,false,false
18,Weekend,Evening,false,false
16,Weekday,Morning,false,false
19,Weekday,Evening,true,false
20,Weekday,Night,false,true
8,Weekend,Night,true,false
19,Weekend,Morning,false,false
6,Weekday,Night,false,false
19,Weekday,Afternoon,false,false
19,Weekday,Morning,false,false
6,Weekend,Night,true,false
18,Weekend,Afternoon,false,false
8,Weekend,Morning,false,false
6,Weekday,Night,false,false
19,Weekend,Morning,true,false
10,Weekend,Night,true,false
8,Weekend,Afternoon,false,false
19,Weekend,Morning,false,false
6,Weekend,Morning,false,false
18,Weekday,Night,false,false
25,Weekend,Morning,false,false
8,Weekend,Evening,true,false
19,Weekend,Morning,true,false
10,Weekend,Night,false,false
8,Weekend,Afternoon,true,false
17,Weekend,Evening,false,false
4,Weekend,Afternoon,false,false
4,Weekend,Morning,true,false
19,Weekday,Afternoon,true,false
10,Weekend,Night,false,false
18,Weekend,Afternoon,false,false
8,Weekend,Night,true,false
12,Weekend,Afternoon,false,false
17,Weekend,Night,false,false
4,Weekend,Night,false,false
4,Weekend,Morning,false,false
12,Weekend,Night,false,false
5,Weekday,Afternoon,true,false
4,Weekend,Evening,false,false
24,Weekend,Afternoon,false,false
18,Weekend,Night,true,false
8,Weekend,Afternoon,true,false
5,Weekend,Night,true,true
19,Weekday,Afternoon,true,false
10,Weekend,Afternoon,false,true
4,Weekday,Afternoon,false,false
4,Weekend,Afternoon,false,false
16,Weekend,Evening,true,true
19,Weekday,Morning,false,false
8,Weekday,Night,false,false
24,Weekday,Night,false,false
4,Weekend,Afternoon,true,false
12,Weekend,Afternoon,false,false
20,Weekday,Night,false,false
5,Weekend,Evening,true,true
24,Weekend,Night,false,false
8,Weekend,Morning,false,false
16,Weekday,Evening,false,false
3,Weekday,Night,false,false
6,Weekday,Morning,false,false
4,Weekend,Night,false,false
9,Weekend,Night,false,false
12,Weekend,Afternoon,true,false
4,Weekend,Evening,false,false
17,Weekday,Night,false,false
